TopicFile,DisplayName,Category,BindingTarget,Notes
UploadClinicalDocument.mcs.yml,Upload Clinical Document,System,Structured intake and manual governed triage,YAML indent bug fixed. Collects governed document or export intake.
UploadClinicalImage.mcs.yml,Upload Clinical Image,System,Structured intake and manual governed triage,Collects governed image intake and gives the next approved upload step.
EscalateUrgentClinicalConcern.mcs.yml,Escalate Urgent Clinical Concern,System,Structured intake with urgency-branched next steps,"YAML indent bug fixed. Text() pattern fixed. Emergency urgency gets prominent escalation notice. ImmediateReview and SameShift get tailored next steps."
PatientRiskStratification.mcs.yml,Patient Risk Stratification,Clinical Insight,Structured intake with Sepsis escalation path,"Text() fixed. Sepsis RiskType now routes to EscalateUrgentClinicalConcern immediately. All other risk types return intake summary + manual review step."
TherapyPickupOpportunity.mcs.yml,Therapy Pickup Opportunity,Clinical Insight,Structured intake with automated handoff,Text() fixed. Collects therapy opportunity intake.
IndividualPatientClinicalOverview.mcs.yml,Individual Patient Clinical Overview,Clinical Insight,Structured intake with automated handoff,Text() fixed. Collects whole-patient review intake.
CarePlanAdherenceAndGoalAttainment.mcs.yml,Care Plan Adherence And Goal Attainment,Clinical Insight,Structured intake with automated handoff,Text() fixed. Collects care-plan adherence intake.
MedicationReconciliationCompliance.mcs.yml,Medication Reconciliation Compliance,Clinical Insight,Structured intake with automated handoff,Text() fixed. Collects reconciliation intake.
MedicationSafetyReview.mcs.yml,Medication Safety Review,Safety and Surveillance,Structured intake and manual escalation,Collects medication safety intake with advisory routing.
InfectionControlSurveillance.mcs.yml,Infection Control Surveillance,Safety and Surveillance,Structured intake and manual escalation,Collects infection surveillance intake.
InfectionOutbreakDetectionAndResponse.mcs.yml,Infection Outbreak Detection And Response,Safety and Surveillance,Structured intake and manual escalation,Collects outbreak response intake.
EnvironmentalSafetyAssessment.mcs.yml,Environmental Safety Assessment,Safety and Surveillance,Structured intake and manual escalation,Collects hazard review intake.
PotentialAbuseOrNeglectReporting.mcs.yml,Potential Abuse Or Neglect Reporting,Safety and Surveillance,Structured intake and manual escalation,Text() fixed. Mandatory-reporting escalation intake with explicit human-follow-required notice.
ClinicalDocumentationCompleteness.mcs.yml,Clinical Documentation Completeness,Quality and Operations,Structured intake and manual reporting review,Collects documentation review intake.
QualityMeasurePerformance.mcs.yml,Quality Measure Performance,Quality and Operations,Structured intake and manual reporting review,Collects measure-performance intake.
RegulatoryComplianceTracking.mcs.yml,Regulatory Compliance Tracking,Quality and Operations,Structured intake and manual reporting review,Collects regulatory tracking intake.
StaffingOptimizationAndWorkloadBalance.mcs.yml,Staffing Optimization And Workload Balance,Quality and Operations,Structured intake and manual reporting review,Collects staffing review intake.
PatientFlowAndBedManagement.mcs.yml,Patient Flow And Bed Management,Quality and Operations,Structured intake and manual reporting review,Collects flow review intake.
ResourceUtilizationAndCostOptimization.mcs.yml,Resource Utilization And Cost Optimization,Quality and Operations,Structured intake and manual reporting review,Collects utilization review intake.
ResearchAndDataUseRequests.mcs.yml,Research And Data Use Requests,Quality and Operations,snf_ai_dashboard.topic.DataQualityAndMetricExplanation,Collects research and governed data-use intake then routes into governance-safe explanation guidance.
QualityAndComplianceReview.mcs.yml,Quality And Compliance Review,Quality and Operations,Topic routing plus manual reporting fallback,"Fixed: ComplianceRisk choice now routes to ClinicalDocumentationCompleteness (was falling through to elseActions). All 4 choices now have explicit routing."
FamilyCommunicationAndSatisfaction.mcs.yml,Family Communication And Satisfaction,Communication and Transitions,Structured intake and manual summary handoff,Collects communication intake.
RehabilitationDischargePlanning.mcs.yml,Rehabilitation Discharge Planning,Communication and Transitions,Structured intake and manual summary handoff,Collects discharge-planning intake.
AdvanceCarePlanningDocumentation.mcs.yml,Advance Care Planning Documentation,Communication and Transitions,Structured intake and manual summary handoff,Collects ACP intake.
EndOfLifeAndHospiceCoordination.mcs.yml,End Of Life And Hospice Coordination,Communication and Transitions,Structured intake and manual summary handoff,Collects hospice coordination intake.
BehavioralHealthAndDementiaCare.mcs.yml,Behavioral Health And Dementia Care,Clinical Insight,Structured intake with adaptive card,Collects behavioral tracking.
NutritionAndWoundCare.mcs.yml,Nutrition And Wound Care,Clinical Insight,Structured intake with adaptive card,Collects weight loss and wound tracking.
RevenueCycleAndMdsOptimization.mcs.yml,Revenue Cycle And MDS Optimization,Quality and Operations,Structured intake with adaptive card,Collects ARDs and PDPM tracking.
