TopicFile,DisplayName,Category,BindingTarget,Notes
MedicationSafetyReview.mcs.yml,Medication Safety Review,Safety and Surveillance,Structured intake and manual escalation,Collects medication safety intake and gives the next escalation step without calling an unvalidated backend.
InfectionControlSurveillance.mcs.yml,Infection Control Surveillance,Safety and Surveillance,Structured intake and manual escalation,Collects infection surveillance intake and gives the next escalation step without calling an unvalidated backend.
InfectionOutbreakDetectionAndResponse.mcs.yml,Infection Outbreak Detection And Response,Safety and Surveillance,Structured intake and manual escalation,Collects outbreak response intake and gives the next escalation step without calling an unvalidated backend.
EnvironmentalSafetyAssessment.mcs.yml,Environmental Safety Assessment,Safety and Surveillance,Structured intake and manual escalation,Collects hazard review intake and gives the next escalation step without calling an unvalidated backend.
PotentialAbuseOrNeglectReporting.mcs.yml,Potential Abuse Or Neglect Reporting,Safety and Surveillance,Structured intake and manual escalation,Collects mandatory-reporting escalation intake and gives the next escalation step without calling an unvalidated backend.
ClinicalDocumentationCompleteness.mcs.yml,Clinical Documentation Completeness,Quality and Operations,Structured intake and manual reporting review,Collects documentation review intake and gives the next reporting step without calling an unvalidated backend.
QualityMeasurePerformance.mcs.yml,Quality Measure Performance,Quality and Operations,Structured intake and manual reporting review,Collects measure-performance intake and gives the next reporting step without calling an unvalidated backend.
RegulatoryComplianceTracking.mcs.yml,Regulatory Compliance Tracking,Quality and Operations,Structured intake and manual reporting review,Collects regulatory tracking intake and gives the next reporting step without calling an unvalidated backend.
StaffingOptimizationAndWorkloadBalance.mcs.yml,Staffing Optimization And Workload Balance,Quality and Operations,Structured intake and manual reporting review,Collects staffing review intake and gives the next reporting step without calling an unvalidated backend.
PatientFlowAndBedManagement.mcs.yml,Patient Flow And Bed Management,Quality and Operations,Structured intake and manual reporting review,Collects flow review intake and gives the next reporting step without calling an unvalidated backend.
ResourceUtilizationAndCostOptimization.mcs.yml,Resource Utilization And Cost Optimization,Quality and Operations,Structured intake and manual reporting review,Collects utilization review intake and gives the next reporting step without calling an unvalidated backend.
ResearchAndDataUseRequests.mcs.yml,Research And Data Use Requests,Quality and Operations,snf_ai_dashboard_recovery.topic.DataQualityAndMetricExplanation,Collects research and governed data-use intake then routes into governance-safe explanation guidance.
QualityAndComplianceReview.mcs.yml,Quality And Compliance Review,Quality and Operations,Topic routing plus manual reporting fallback,Umbrella topic that routes to split quality and regulatory topics and keeps fallback guidance honest.
FamilyCommunicationAndSatisfaction.mcs.yml,Family Communication And Satisfaction,Communication and Transitions,Structured intake and manual summary handoff,Collects communication intake and gives the next governed summary step without calling an unvalidated backend.
RehabilitationDischargePlanning.mcs.yml,Rehabilitation Discharge Planning,Communication and Transitions,Structured intake and manual summary handoff,Collects discharge-planning intake and gives the next governed summary step without calling an unvalidated backend.
AdvanceCarePlanningDocumentation.mcs.yml,Advance Care Planning Documentation,Communication and Transitions,Structured intake and manual summary handoff,Collects ACP intake and gives the next governed summary step without calling an unvalidated backend.
EndOfLifeAndHospiceCoordination.mcs.yml,End Of Life And Hospice Coordination,Communication and Transitions,Structured intake and manual summary handoff,Collects hospice coordination intake and gives the next governed summary step without calling an unvalidated backend.
"Conversationalboosting.mcs.yml","Conversational Boosting","System","snf_ai_dashboard_recovery.topic.WelcomeStart","Conversation engagement helper topic."
"Thankyou.mcs.yml","Thank You","System","snf_ai_dashboard_recovery.topic.EndOfConversation","Thank-you closeout topic."
"Signin.mcs.yml","Signin","System","signin guidance","Sign-in guidance before protected operations."
"Escalate.mcs.yml","Escalate","System","snf_ai_dashboard_recovery.topic.WelcomeStart","Escalation fallback system topic."
"Greeting.mcs.yml","Greeting","System","snf_ai_dashboard_recovery.topic.WelcomeStart","Greeting and orientation topic."


